module	set	id	name	rarity	type	bv	arith	geom	logic	sci	speed
Gifford	gifford	gf_kade	Inspector Yusuf Kade	rare	Geometry	25	5	6	5	5	4
Gifford	gifford	gf_bramwell	Old Bramwell	rare	Science	25	4	6	4	7	4
Gifford	gifford	gf_adelina	Lady Adelina Corvain	rare	Science	25	5	5	5	6	4
Gifford	gifford	gf_whistle	Whistle	rare	Speed	25	6	4	4	4	7
Gifford	gifford	gf_fenn	Fenn Okonkwo	uncommon	Arithmetic	18	4	4	3	3	4
Gifford	gifford	gf_fenn_upgraded	Fenn Okonkwo (upgraded)	uncommon_upgraded	Arithmetic	21	5	4	4	3	5
Gifford	gifford	gf_delphine	Delphine Ashworth	uncommon	Speed	18	3	3	4	3	5
Gifford	gifford	gf_delphine_upgraded	Delphine Ashworth (upgraded)	uncommon_upgraded	Speed	21	4	3	5	3	6
Gifford	gifford	gf_growl	Growl	uncommon	Speed	18	3	3	3	4	5
Gifford	gifford	gf_growl_upgraded	Growl (upgraded)	uncommon_upgraded	Speed	21	3	3	4	5	6
Gifford	gifford	gf_pemberton	Clerk Pemberton	uncommon	Arithmetic	18	5	3	4	3	3
Gifford	gifford	gf_pemberton_upgraded	Clerk Pemberton (upgraded)	uncommon_upgraded	Arithmetic	21	6	3	5	3	4
Gifford	gifford	gf_maude	Sister Maude	uncommon	Science	18	3	3	4	5	3
Gifford	gifford	gf_maude_upgraded	Sister Maude (upgraded)	uncommon_upgraded	Science	21	4	3	5	6	3
Gifford	gifford	gf_rooke	Rooke	epic	Geometry	33	6	8	7	6	6
Gifford	gifford	gf_rooke_upgraded	Rooke (upgraded)	epic_upgraded	Geometry	36	7	9	8	6	6
Gifford	gifford	gf_corvain	Corvain	epic	Logic	33	7	6	8	6	6
Gifford	gifford	gf_corvain_upgraded	Corvain (upgraded)	epic_upgraded	Logic	36	8	7	9	6	6
Gifford	gifford	gf_marrow	Marrow	epic	Science	33	7	6	6	8	6
Gifford	gifford	gf_marrow_upgraded	Marrow (upgraded)	epic_upgraded	Science	36	7	7	6	9	7
Gifford	gifford	gf_tambrindle	Tam Brindle	common	Speed	13	2	3	2	2	4
Gifford	gifford	gf_tambrindle_upgraded	Tam Brindle (upgraded)	common_upgraded	Speed	16	3	4	2	2	5
Gifford	gifford	gf_nettle	Nettle	common	Geometry	12	2	3	2	3	2
Gifford	gifford	gf_nettle_upgraded	Nettle (upgraded)	common_upgraded	Geometry	15	2	4	3	4	2
Gifford	gifford	gf_higgins	Corporal Higgins	common	Logic	12	2	2	3	2	3
Gifford	gifford	gf_higgins_upgraded	Corporal Higgins (upgraded)	common_upgraded	Logic	15	3	2	4	2	4
Gifford	gifford	gf_marta	Marta the Grocer	common	Geometry	12	3	4	2	2	1
Gifford	gifford	gf_marta_upgraded	Marta the Grocer (upgraded)	common_upgraded	Geometry	15	4	4	3	2	2
Gifford	gifford	gf_jory	Jory Fenwick	common	Logic	12	3	2	3	2	2
Gifford	gifford	gf_jory_upgraded	Jory Fenwick (upgraded)	common_upgraded	Logic	15	3	3	4	2	3
Gifford	gifford	gf_ratchet	Ratchet	common	Speed	12	2	2	2	2	4
Gifford	gifford	gf_ratchet_upgraded	Ratchet (upgraded)	common_upgraded	Speed	15	3	2	3	2	5
Gifford	gifford	gf_colworth	Magistrate Colworth	common	Logic	12	3	2	4	2	1
Gifford	gifford	gf_colworth_upgraded	Magistrate Colworth (upgraded)	common_upgraded	Logic	15	4	2	5	2	2
Gifford	gifford	gf_pip	Pip	common	Geometry	12	2	3	2	2	3
Gifford	gifford	gf_pip_upgraded	Pip (upgraded)	common_upgraded	Geometry	15	3	3	3	2	4
Gifford	gifford	gf_adavoss	Second Examiner Ada Voss	common	Arithmetic	12	4	2	3	2	1
Gifford	gifford	gf_adavoss_upgraded	Second Examiner Ada Voss (upgraded)	common_upgraded	Arithmetic	15	5	2	4	3	1
Gifford	intermediate_bosses	boss_intermediate_1	Senior Examiner Vera Kross	boss_L1	Arithmetic	13	4	2	2	1	4
Gifford	intermediate_bosses	boss_intermediate_2	Tracker Sergeant Davin Cross	boss_L2	Geometry	12	2	6	2	1	1
Gifford	intermediate_bosses	boss_intermediate_3	The Sealed Archive	boss_L3	Science	18	5	2	2	8	1
Gifford	intermediate_bosses	boss_intermediate_4	Lord Antony Vex	boss_L4	Logic	19	3	2	6	2	6
Gifford	intermediate_bosses	boss_intermediate_5	Old Bramwell's Trial	boss_L5	Science	25	4	5	6	9	1
Gifford	intermediate_bosses	boss_intermediate_6	Senior Detective Marcus Vale	boss_L6	Speed	25	4	6	2	4	9
Gifford	intermediate_bosses	boss_intermediate_7	Whistle's Price	boss_L7	Geometry	33	6	9	7	6	5
Gifford	intermediate_bosses	boss_intermediate_8	Scarrow	boss_L8	Speed	33	6	5	6	7	9
Gifford	intermediate_bosses	boss_intermediate_9	The Chancellor's Ledger	boss_L9	Logic	44	9	9	10	8	8
Gifford	intermediate_bosses	boss_intermediate_10	The Engine's Answer	boss_L10	Arithmetic	46	10	9	9	10	8
